site,PONTO,TIPO,wl_nm,refl_img
IPIXUNA,IPX003,SOLO,764.85645,0.36105898
IPIXUNA,IPX003,SOLO,775.2735,0.385107189
IPIXUNA,IPX003,SOLO,785.65955,0.356801718
IPIXUNA,IPX003,SOLO,796.12701,0.365407795
IPIXUNA,IPX003,SOLO,806.71106,0.385885417
IPIXUNA,IPX003,SOLO,817.31104,0.364156544
IPIXUNA,IPX003,SOLO,827.91949,0.380498976
IPIXUNA,IPX003,SOLO,838.52722000000006,0.389852762
IPIXUNA,IPX003,SOLO,849.20996,0.397146553
IPIXUNA,IPX003,SOLO,859.97314,0.405035466
IPIXUNA,IPX003,SOLO,870.74255,0.407980472
IPIXUNA,IPX003,SOLO,881.45605,0.42650491
